,city,city_id,country,max_temperature,wind_speed,Cloudiness,Longitude,Latitude,Humidity
406,Natal,3394023,BR,75.2,8.05,75,-35.21,-5.79,94
407,Wanlaweyn,50672,SO,75.45,5.61,77,44.89,2.62,87
408,Altamira,3407882,BR,73.44,1.99,93,-52.21,-3.2,93
409,Mamaku,2187834,NZ,80.01,11.99,73,176.08,-38.1,88
410,Ust-Tsilma,477940,RU,34.86,8.5,100,52.15,65.44,95
411,Sainte-Rose,3578447,GP,73.4,5.82,75,-61.7,16.33,88
412,Kalmunai,1242110,LK,80.89,1.68,46,81.82,7.42,78
413,Egvekinot,4031742,RU,6.35,4.21,0,-179.17,66.32,82
414,Hobyo,57000,SO,78.98,13.04,96,48.53,5.35,70
415,Roald,3141667,NO,51.8,10.29,100,6.13,62.58,53
416,Port Macquarie,2152659,AU,82.0,17.22,1,152.92,-31.43,33
417,Olinda,3393536,BR,78.8,8.05,40,-34.86,-8.01,69
418,Erzincan Province,315372,TR,28.4,2.24,75,39.5,39.75,79
419,Ossora,2122389,RU,10.96,3.78,47,163.07,59.24,82
420,Anlu,1786546,CN,46.98,3.18,37,112.58,31.17,58
421,Tibú,3667202,CO,74.19,1.1,100,-72.74,8.64,95
422,Celestún,3531368,MX,71.13,12.93,32,-90.4,20.87,70
423,Mtimbira,152793,TZ,71.94,1.12,2,36.35,-8.78,87
424,Bilibino,2126682,RU,-0.04,1.32,97,166.44,68.05,90
425,Ushtobe,1517637,KZ,14.05,4.21,16,77.98,45.25,93
426,Dukat,2125906,RU,-14.48,2.08,69,155.55,62.55,89
427,Laas,3175096,IT,35.01,9.17,75,10.7,46.62,100
428,Biloela,2175819,AU,89.46,8.05,96,150.5,-24.42,31
429,Upata,3625710,VE,79.0,3.0,99,-62.4,8.01,81
430,Biltine,244878,TD,74.73,14.43,7,20.92,14.53,20
431,Fonte Boa,6319315,BR,73.98,2.48,100,-66.27,-2.5,96
432,Salazie,935210,RE,75.2,5.82,0,55.54,-21.03,73
433,Tahoua,2439376,NE,73.4,4.7,0,5.27,14.89,27
434,Coyhaique,3894426,CL,60.8,5.82,0,-72.07,-45.58,51
435,Katangli,2122783,RU,13.87,8.97,100,143.23,51.71,92
436,Cockburn Town,3576994,TC,77.0,4.7,40,-71.14,21.46,73
437,Donja Dubica,3201697,BA,34.0,3.22,0,18.41,45.08,85
438,Ambon City,1651531,ID,93.2,3.36,40,128.18,-3.7,56
439,Fulton,4196508,US,37.99,12.75,90,-84.45,33.77,59
440,Padang,1633419,ID,84.9,2.24,73,100.35,-0.95,60
441,Umluj,100926,SA,72.81,4.9,0,37.27,25.02,36
442,Klyuchi,1503153,RU,9.61,14.34,99,79.17,52.27,91
443,Tarpon Springs,4174855,US,62.01,12.75,0,-82.76,28.15,67
444,Gondanglegi,1640660,ID,85.48,13.29,99,112.01,-7.75,68
445,Westport,4845585,US,30.99,11.9,70,-73.36,41.14,76
446,Santa Ana,5392900,US,75.2,5.82,1,-117.87,33.75,13
447,Ketchikan,5554428,US,44.01,8.43,100,-131.65,55.34,91
448,Poum,2138555,NC,80.02,17.31,0,164.02,-20.23,78
449,Zverinogolovskoye,1484943,RU,20.5,7.92,98,64.85,54.46,97
450,Ugoofaaru,1337619,MV,82.42,11.59,21,73.0,5.67,77
451,Almeirim,3407903,BR,75.51,1.99,66,-52.58,-1.52,87
452,High Level,5975004,CA,39.2,6.93,75,-117.14,58.52,86
453,Mayor Pablo Lagerenza,3867427,PY,74.35,2.24,31,-60.77,-19.93,44
454,Saint-Augustin,6137462,CA,32.56,10.98,100,-58.65,51.23,95
455,Shāhpura,1256705,IN,60.8,3.02,0,75.97,27.38,63
456,Kärdla,591632,EE,33.46,16.49,7,22.75,59.0,88
457,Waterfoot,2655237,GB,36.0,7.47,100,-2.25,53.69,97
458,Pringsewu,1630639,ID,87.82,2.06,36,104.97,-5.36,56
459,Soyo,2236967,AO,78.01,5.26,100,12.37,-6.13,84
460,Governador Valadares,3462315,BR,72.09,3.49,6,-41.95,-18.85,91
461,Kumul,1529484,CN,24.64,1.9,100,93.45,42.8,76
462,Udachny,2014624,RU,-18.4,2.24,0,112.4,66.42,75
463,Dwārka,1272140,IN,77.54,7.25,5,68.97,22.24,48
464,Sarakhs,1159716,IR,32.0,8.79,90,61.16,36.54,96
465,Vrangel',2013258,RU,24.48,12.8,0,133.08,42.73,78
466,San Bartolomé de Tirajana,2511440,ES,64.0,10.29,75,-15.57,27.92,82
467,Almonte,2521857,ES,55.99,5.99,79,-6.52,37.26,85
468,Uyo,2319480,NG,74.57,0.27,0,7.93,5.03,95
469,Baykit,1510689,RU,10.06,5.19,100,96.37,61.67,92
470,Petropavlovsk-Kamchatskiy,2122104,RU,15.8,6.71,0,158.65,53.05,72
471,Inuvik,5983607,CA,-0.4,2.24,99,-133.72,68.35,84
